Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
FN,D3,SP17,5,2,-0.7746713994684019,0.5404520795280373,-0.14246235059771806,0.28372810000296234,1.6621744555039883,0.45618820647320335,-0.503924365284977,0.11899141139037767,4,37,0.10810810810810811
FN,D3,SP17,5,3,-0.6736357748003015,0.299030748660987,-0.3188795689000497,0.39825766157759557,1.0036041003602185,0.18388277682458518,0.6994061506377623,0.29056310682923875,6,37,0.16216216216216217
FN,D3,SP17,5,4,-0.059075988407891036,0.21579411541722046,0.15201929856792595,0.24805298521660316,1.1477064183064076,0.18086408905130757,-1.8068972977231816,0.20841782859522306,16,37,0.43243243243243246
FN,D3,SP17,50,1,-0.33797818238790894,0.15361994897017267,-0.06198812913092911,0.13081447413368574,0.011108749520185507,0.11525292873241956,-0.33538118333105166,0.13964632031821902,28,106,0.2641509433962264
FN,D3,SP17,50,2,-0.2810123965133583,0.17706968392300446,-0.40544115833729205,0.13893957217684744,2.026147163188409,0.14316417267188478,-0.44366930548583844,0.12825175435892325,25,106,0.2358490566037736
FN,D3,SP17,50,3,-0.6886994865153138,0.13034083381516728,-0.3955647868947239,0.17867091705582144,0.8742818352580228,0.08702374153696116,0.6425567415888686,0.1210470432480012,32,106,0.3018867924528302
FN,D3,SP17,50,4,-0.6506604811097313,0.16953308779373888,-0.0026339337017478657,0.21599770038765512,0.84642544720610835,0.08069642725109631,-1.2607747668981866,0.18130124713160853,21,106,0.19811320754716982
FN,C1,vehicle,None,1,-0.14850678968490055,0.3531334229798212,-0.3614963498432296,0.3151001013777288,-0.34022526523940727,0.4344761789880312,0.24706199957575675,0.14133520670850794,7,13,0.5384615384615384
FN,C1,vehicle,None,2,-0.9745704583183487,NA,0.3731772158197049,NA,1.382873341127581,NA,-0.13323082926772312,NA,1,13,0.07692307692307693
FN,C1,vehicle,None,3,-0.24938682355773614,0.5207336257615797,-0.22934535680876345,0.6256100138755255,0.33270338743179434,0.2898737637764628,0.7894511527785941,0.3873495183315619,3,13,0.23076923076923078
FN,C1,vehicle,None,4,1.38113922839293,0.12174562852472558,1.422666651754596,0.33301378858089076,2.966766264431153e-4,0.5063753541074967,-1.9822783130491783,0.20881011998606636,2,13,0.15384615384615385
FN,C2,vehicle,None,1,-0.106893114603991,0.2326476197756082,0.19884183252215099,0.25797603399156793,-1.0373511360482517,0.0839891933508301,-0.13781545782065702,0.18868375976236249,13,40,0.325
FN,C2,vehicle,None,2,-0.0020636021831294373,0.404126170516293,0.1754206690818106,0.27135326135641225,1.251330144849579,0.12972001911139266,-0.04110379179360315,0.20974066318886894,10,40,0.25
FN,C2,vehicle,None,3,0.3840528752743419,0.3253723440405572,0.16646926737095383,0.2059682929312869,0.11403920197822129,0.24328114382538912,1.315118759510028,0.11689904721893701,9,40,0.225
FN,C2,vehicle,None,4,-0.255778670723237,0.3337029079143826,-0.7296717399930805,0.4929152750266595,-0.006761187209063619,0.20523387407757282,-1.2041787457482098,0.1384243056186304,8,40,0.2
FN,C3,vehicle,None,1,0.7365633433607651,0.2603309499038886,1.0143837488356169,0.38855563985901403,-1.3894869290907512,0.1508912897716142,-0.14726968263832946,0.5515539721777767,5,28,0.17857142857142858
FN,C3,vehicle,None,2,-0.06453483324727241,0.3455697953343808,-0.2847339352509135,0.2361168330839933,0.8664273785314845,0.22367806636650903,-0.016900536812228802,0.13800785091970616,11,28,0.39285714285714285
FN,C3,vehicle,None,3,-0.3796542809379704,0.2822503013616343,-0.24527660838242885,0.3507061240122564,-0.24155340888727445,0.16114342236435988,0.5545141976379124,0.21484433246540655,10,28,0.35714285714285715
FN,C3,vehicle,None,4,0.41180462914793814,0.6323258631348238,0.2564603137031266,0.06520237055496213,-0.0838662147599147,0.31265316085732375,-2.3114438291264805,0.6302655378983331,2,28,0.07142857142857142
FN,C4,vehicle,None,1,0.11914782421234625,0.2526644875465958,0.3253526582068215,0.19054754206917257,-0.8250218350591731,0.1607095743135592,-0.4085710693405745,0.18620814789898843,15,35,0.42857142857142855
FN,C4,vehicle,None,2,0.08937480869429962,0.46550039475032623,0.15210306983317332,0.506890959174378,1.4679701388549438,0.27455294294245286,-0.46550475611625347,0.29121811060014763,6,35,0.17142857142857143
FN,C4,vehicle,None,3,-0.19359104802844623,0.29207051311165316,-0.513457936436339,0.28571942091348396,0.3041259986724181,0.10812494103748013,0.8169502961297618,0.23761803560094347,13,35,0.37142857142857144
FN,C4,vehicle,None,4,0.19321740901881398,NA,0.8820448815710377,NA,-0.38613128998350027,NA,-1.6987592728807632,NA,1,35,0.02857142857142857
FN,D1,vehicle,None,1,0.22269321056537755,0.36732586341416296,0.14083922471981505,0.45100028128734376,-0.6154305948321905,0.30719806482110823,0.6077623093891711,0.17025234296654604,9,18,0.5
FN,D1,vehicle,None,2,-1.0197811007018802,0.15621199224846788,-0.19341522060711708,0.24748942382123645,1.0294484946000126,0.13551226940975053,0.33811393489071173,0.05701198003192937,4,18,0.2222222222222222
FN,D1,vehicle,None,4,0.4149771015438249,0.2761487411567602,-0.0987784280099729,0.24931432858952637,0.28421627501793284,0.3109023643656626,-1.3644633048130774,0.29862633539493844,5,18,0.2777777777777778
FN,D2,vehicle,None,1,0.34191678825314925,0.20295497472212493,0.2635493086433388,0.2416986422567598,-0.8207230638340415,0.15527294845579506,-0.09760717893440037,0.14191563683320962,23,57,0.40350877192982454
FN,D2,vehicle,None,2,-0.898905842009253,0.16837401425697596,0.08368355016576476,0.266192586800718,1.3349537754744756,0.13881932255488635,0.04229684239677731,0.06620589027907417,8,57,0.14035087719298245
FN,D2,vehicle,None,3,-0.19305554360496574,0.278720226925402,-0.2871200177130686,0.21080276001776463,0.4415446149259263,0.14402149647761298,1.1326741341705464,0.19766726661194853,14,57,0.24561403508771928
FN,D2,vehicle,None,4,0.16916151806009244,0.26703976954372,-0.22595185434499573,0.28820596277764626,0.16794797128534827,0.21548067758542527,-1.162570625172555,0.17492240495492709,12,57,0.21052631578947367
FN,D3,vehicle,None,1,0.37949603815121496,0.21860501340921537,0.27416289478061595,0.24732536925468881,-0.5753600615954007,0.18083369682468522,0.00973557035089893,0.18948549873630974,18,29,0.6206896551724138
FN,D3,vehicle,None,2,-1.3093734596869326,0.24572625351326868,-0.8531528483452759,0.022666934158029173,1.2524354193700469,0.20833456072514434,-0.2032638327522281,0.02575215872127033,2,29,0.06896551724137931
FN,D3,vehicle,None,3,-0.46969115481714985,0.17730056645092182,-0.5534014545088553,0.3148642878123326,0.7461121305898561,0.22760284855998247,0.810405689602671,0.1460929508026229,6,29,0.20689655172413793
FN,D3,vehicle,None,4,-0.4646782794817012,0.8485608925330379,0.03059410589753268,0.5256384151946863,1.1249791621459937,0.14137433261352744,-1.5437155794759168,0.9307226809384737,3,29,0.10344827586206896
HEM,E1,CP17,5,1,0.23481930924769304,0.12998337216711944,0.25786745924165033,0.08894072775580386,-0.885741133004566,0.10386457981675755,0.2291641121817425,0.09782857371436428,47,118,0.3983050847457627
HEM,E1,CP17,5,2,-0.3798124317238553,0.16861505478420033,0.6886613080647959,0.2804735551785987,1.035653327173624,0.12780790538891126,-0.01699108200590731,0.11022126789461174,17,118,0.1440677966101695
